project_id,project_name,budget,total_hours,distinct_employees,budget_per_hour
P001,Alpha Platform Rebuild,120000.00,191.00,5,628.2723
P002,Data Warehouse Migration,85000.00,107.00,5,794.3925
P003,Customer Portal v2,60000.00,141.00,6,425.5319
P004,Internal Analytics Dashboard,45000.00,80.50,6,559.0062
P005,Mobile App Launch,200000.00,132.50,10,1509.4340
P006,Legacy System Decommission,30000.00,98.50,3,304.5685
P007,ML Forecasting Pipeline,95000.00,310.00,9,306.4516
P008,API Gateway Consolidation,,113.50,5,
P009,Compliance Reporting Tool,40000.00,93.50,4,427.8075
P010,Data Catalogue Implementation,70000.00,129.00,4,542.6357
P011,Cloud Cost Optimisation,25000.00,0.00,0,
P012,Real-Time Alerting System,88000.00,29.50,1,2983.0508
P013,,15000.00,0.00,0,
P014,Security Audit & Remediation,62000.00,0.00,0,
P015,Self-Serve BI Rollout,47000.00,39.50,5,1189.8734
P016,Vendor Data Integration,33000.00,0.00,0,
P017,HR System Upgrade,91000.00,0.00,0,
P018,Event Streaming Platform,110000.00,84.50,2,1301.7751
P019,Data Quality Framework,,0.00,0,
P020,Product Recommendation Engine,130000.00,118.50,6,1097.0464
P021,Infrastructure Monitoring,42000.00,0.00,0,
P022,Partner API Programme,76000.00,0.00,0,
P023,Data Mesh Pilot,58000.00,99.50,7,582.9146
P024,CRM Data Sync,29000.00,0.00,0,
P025,Search Relevance Improvement,84000.00,106.50,9,788.7324
P026,Experimentation Platform,67000.00,125.50,6,533.8645
P027,Regulatory Reporting Automation,53000.00,0.00,0,
P028,Data Retention & Archival,21000.00,0.00,0,
P029,Observability Stack,39000.00,70.00,3,557.1429
P030,Feature Store Build-Out,115000.00,109.00,8,1055.0459
P031,Customer Churn Model,78000.00,114.50,6,681.2227
P032,Supply Chain Analytics,,0.00,0,
P033,Internal Knowledge Base,18000.00,0.00,0,
P034,SLA Monitoring Dashboard,44000.00,0.00,0,
P035,Cross-Sell Recommendation,92000.00,89.50,6,1027.9330
